Time_s,LapID,Speed,Distance,Throttle,Brake
10.6,3,129.71797359616832,870.1531452988762,-1.4426347773055817e-08,0.9999997782989086
10.61,3,128.93135905623598,870.4831816644391,-1.0250348610558747e-08,0.9999998145683405
10.620000000000001,3,128.19338532390003,870.8118991506853,-6.240765862119574e-09,0.9999998657218503
10.63,3,127.5079347798503,871.1393881415449,-2.572133901687706e-09,0.9999999332299754
10.64,3,126.87887595195751,871.4657388321576,5.812844206092995e-10,1.0000000185480202
10.65,3,126.30714057050382,871.791001394043,3.1027893043579655e-09,1.000000119901821
10.66,3,125.78710798247226,872.1151367007387,5.004111715725882e-09,1.0000002283118434
10.67,3,125.31227095444177,872.4380935431803,6.3143601453228836e-09,1.0000003338236196
10.68,3,124.87612225299122,872.759820712303,7.062643083758805e-09,1.0000004264826816
10.69,3,124.47215464469954,873.0802669990422,7.278069021643478e-09,1.000000496334562
10.700000000000001,3,124.09386089614557,873.3993811943329,6.989746449586636e-09,1.0000005334247923
10.71,3,123.73473377390833,873.7171120891109,6.226783858198226e-09,1.0000005277989048
10.72,3,123.38826604456669,874.0334084743109,5.018289738088076e-09,1.000000469502432
10.73,3,123.04795047469955,874.348219140869,3.3933725798660168e-09,1.0000003485809055
10.74,3,122.70727983088581,874.6614928797201,1.3811408741418703e-09,1.0000001550798576
10.75,3,122.3598229221112,874.9731795012906,-9.887987393632321e-10,0.9999998793164258
10.76,3,122.00210470592778,875.2832684487202,-3.667474074227355e-09,0.9999995221664021
10.77,3,121.63449028143336,875.5918006494451,-6.580756413909111e-09,0.999999098221645
10.78,3,121.25760139084885,875.8988204716835,-9.65283578861656e-09,0.9999986229906802
10.790000000000001,3,120.87205977639515,876.2043722836539,-1.2807902228558331e-08,0.9999981119820339
10.8,3,120.47848718029337,876.5085004535746,-1.597014576394135e-08,0.9999975807042323
10.81,3,120.07750534476436,876.811249349664,-1.9063756424974243e-08,0.999997044665801
10.82,3,119.66973601202906,877.11266334014,-2.201292424186506e-08,0.9999965193752663
10.83,3,119.25580092430846,877.4127867932215,-2.4741839244821873e-08,0.9999960203411542
10.84,3,118.8363218238235,877.7116640771266,-2.717469146405274e-08,0.9999955630719907
10.85,3,118.41192045279509,878.0093395600736,-2.9235670929765724e-08,0.9999951630763018
10.86,3,117.9832185534442,878.3058576102809,-3.0848967672168885e-08,0.9999948358626135
10.870000000000001,3,117.55083786799172,878.6012625959668,-3.1938771721470426e-08,0.9999945969394519
10.88,3,117.11540013865874,878.8955988853496,-3.2429273107878027e-08,0.9999944618153429
10.89,3,116.67752710766612,879.1889108466476,-3.224466186159996e-08,0.9999944459988125
10.9,3,116.2378405172348,879.4812428480792,-3.1309128012844315e-08,0.999994564998387
10.91,3,115.79696210958576,879.7726392578629,-2.954686159181916e-08,0.9999948343225922
10.92,3,115.35551362693995,880.0631444442166,-2.6882052628732525e-08,0.9999952694799541
10.93,3,114.91411681151828,880.3528027753591,-2.3238891153792492e-08,0.9999958859789988
10.94,3,114.47339340554174,880.6416586195086,-1.8541567197207136e-08,0.9999966993282522
10.950000000000001,3,114.03396515123116,880.9297563448832,-1.271427078918334e-08,0.9999977250362406
10.96,3,113.59645379080767,881.2171403197015,-5.681191959931283e-09,0.9999989786114897
10.97,3,113.16147771172346,881.5038546706866,2.630929232654807e-09,1.0000004750822735
10.98,3,112.729395741736,881.7899248399988,1.2098056144069418e-08,1.000002192319578
10.99,3,112.30012673690362,882.0753445981667,2.22617207209096e-08,1.0000040452102064
11.0,3,111.87354693529748,882.3601046478378,3.263106011359846e-08,1.0000059425399808
11.01,3,111.44953257498875,882.6441956916589,4.271521147255912e-08,1.0000077930947238
11.02,3,111.02795989404851,882.927608432277,5.202331194821471e-08,1.0000095056602571
11.03,3,110.60870513054795,883.2103335723391,6.006449869098834e-08,1.0000109890224038
11.040000000000001,3,110.1916445225581,883.4923618144926,6.634790885130406e-08,1.0000121519669858
11.05,3,109.77665430815026,883.773683861384,7.038267957958267e-08,1.0000129032798246
11.06,3,109.36361072539549,884.0542904156608,7.167794802624862e-08,1.0000131517467437
11.07,3,108.95239001236496,884.3341721799699,6.974285134172497e-08,1.000012806153564
11.08,3,108.54286840712976,884.6133198569581,6.408652667643487e-08,1.0000117752861089
11.09,3,108.13492214776109,884.8917241492728,5.421811118080143e-08,1.0000099679302
11.1,3,107.72842747233003,885.1693757595609,3.964674200524782e-08,1.0000072928716592
11.11,3,107.32326061890775,885.4462653904695,1.9881556300197076e-08,1.0000036588963097
11.120000000000001,3,106.91929702076047,885.7223837942619,-5.5644607627817295e-09,0.9999989755008424
11.13,3,106.51624149252866,885.997732241837,-3.6362543528099495e-08,0.9999933028862097
11.14,3,106.11341817616359,886.27233547256,-7.036381233577078e-08,0.9999870374944759
11.15,3,105.71009970610675,886.5462214012332,-1.0517311417214407e-07,0.9999806212633308
11.16,3,105.30555871679971,886.8194179426587,-1.3839529602356782e-07,0.999974496130464
11.17,3,104.89906784268406,887.0919530116389,-1.676352048763905e-07,0.9999691040335659
11.18,3,104.48989971820134,887.3638545229762,-1.904976877169606e-07,0.9999648869103259
11.19,3,104.07732697779313,887.6351503914727,-2.0458759153162657e-07,0.9999622866984346
11.200000000000001,3,103.66062225590088,887.9058685319309,-2.0750976330673628e-07,0.999961745335581
11.21,3,103.23905818696632,888.1760368591528,-1.9686905002863669e-07,0.999963704759456
11.22,3,102.81190740543093,888.4456832879407,-1.7027029868367811e-07,0.9999686069077488
11.23,3,102.37844254573626,888.7148357330972,-1.2531835625820887e-07,0.9999768937181497
11.24,3,101.9379362423239,888.9835221094241,-5.961806973857719e-08,0.9999890071283483
11.25,3,101.48968175011083,889.2517704376938,2.9164224594000854e-08,1.0000053777350322
11.26,3,101.03456773783782,889.5196169375844,1.3860474094063054e-07,1.0000255586773188
11.27,3,100.57618721141638,889.7871117264907,2.5821548634966296e-07,1.000047615742841
11.28,3,100.11839513316853,890.0543062680132,3.7672732608650816e-07,1.0000694706464934
11.290000000000001,3,99.66504646541624,890.3212520257528,4.828711254165933e-07,1.000089045103172
11.3,3,99.21999617048166,890.5880004633102,5.653777496052893e-07,1.0001042608277726
11.31,3,98.78709921068676,890.8546030442861,6.129780639180262e-07,1.00011303953519
11.32,3,98.37021054835355,891.1211112322815,6.144029336202142e-07,1.0001133029403213
11.33,3,97.97318514580408,891.3875764908969,5.583832239772637e-07,1.0001029727580606
11.34,3,97.59987796536035,891.654050283733,4.3364980025458463e-07,1.0000799707033041
11.35,3,97.2541439693444,891.9205840743911,2.2893352771758663e-07,1.0000422184909474
11.36,3,96.93982983343118,892.1872291532571,-6.698686561863455e-08,0.9999876466626709
11.370000000000001,3,96.65902546411834,892.4540000893085,-4.551857488058221e-07,0.9999160570384746
11.38,3,96.4099011838431,892.7208295212062,-9.1409841029445e-07,0.9998314265074416
11.39,3,96.1900969696305,892.9876390019035,-1.4190969225553476e-06,0.9997382968728649
11.4,3,95.99725279850561,893.2543500843536,-1.945553358059283e-06,0.9996412099380375
11.41,3,95.8290086474936,893.5208843215097,-2.468839789277023e-06,0.9995447075062521
11.42,3,95.68300449361949,893.7871632663245,-2.964328288679338e-06,0.9994533313808017
11.43,3,95.55688031390842,894.053108471751,-3.4073909287369956e-06,0.9993716233649794
11.44,3,95.4482760853855,894.3186414907424,-3.773399781920763e-06,0.9993041252620778
11.450000000000001,3,95.35483178507577,894.5836838762518,-4.037726920701444e-06,0.9992553788753901
11.46,3,95.2741873900044,894.8481571812321,-4.175744417549711e-06,0.999229926008209
11.47,3,95.20398287719645,895.1119829586364,-4.16282434493639e-06,0.9992323084638277
11.48,3,95.14185822367705,895.3750827614178,-3.974338775332246e-06,0.9992670680455388
11.49,3,95.08545340647126,895.6373781425292,-3.585659781208048e-06,0.9993387465566353
11.5,3,95.0324084026042,895.8987906549237,-2.9721594350345645e-06,0.9994518858004103
11.51,3,94.98036318910097,896.1592418515544,-2.109209809282562e-06,0.9996110275801566
11.52,3,94.92695774298666,896.4186532853741,-9.72182976422815e-07,0.9998207136991671
11.53,3,94.8698170197308,896.6769467335824,4.620354048987728e-07,1.0000852068306698
11.540000000000001,3,94.80540375148469,896.9340613234025,2.099452953078115e-06,1.0003871732513923
11.55,3,94.72821062120398,897.1899655915512,3.64757326257729e-06,1.000672671846962
11.56,3,94.63253948245308,897.4446309235051,4.794671777560217e-06,1.000884215517367
11.57,3,94.51269218879645,897.6980287047409,5.229023942190534e-06,1.0009643171625957
11.58,3,94.36297059379855,897.9501303207347,4.638905200631882e-06,1.0008554896826367
11.59,3,94.17767655102382,898.2009071569632,2.7125909970478992e-06,1.000500245977478
11.6,3,93.95112645607696,898.4503306778435,-8.599591264133575e-07,0.9998414095222505
11.61,3,93.68071961709765,898.6983890831374,-6.031756854906391e-06,0.9988876457221251
11.620000000000001,3,93.37073372726803,898.9451079113738,-1.1959235526954995e-05,0.9977945220243009
