Time,Distance,X,Y,Speed,Throttle,Brake,RPM,nGear,DRS,LapID,PointIndex,Year,GrandPrix,Session,Driver,LapNumber,LapTime_s,Time_s
0 days 00:00:36.639000,2300.081666666667,8447.075420439967,15385.070955817717,212.0,100.0,False,11632.0,5,0,3,285,2023,Italian Grand Prix,R,HAM,49.0,85.888,36.639
0 days 00:00:36.707000,2304.195023284817,8486.0,15398.0,214.975,100.0,False,11513.0,5,0,3,286,2023,Italian Grand Prix,R,HAM,49.0,85.888,36.707
0 days 00:00:36.799000,2309.815,8534.788345992132,15414.766961963534,219.0,100.0,False,11352.0,6,0,3,287,2023,Italian Grand Prix,R,HAM,49.0,85.888,36.799
0 days 00:00:36.866000,2313.972911984297,8579.0,15431.0,220.8843768,100.0,False,11277.4624288,6,0,3,288,2023,Italian Grand Prix,R,HAM,49.0,85.888,36.866
0 days 00:00:37.087000,2328.0217331158165,8792.0,15514.0,227.1,100.0,False,11031.6,6,0,3,289,2023,Italian Grand Prix,R,HAM,49.0,85.888,37.087
0 days 00:00:37.119000,2330.081666666667,8816.56651887973,15523.64925223297,228.0,100.0,False,10996.0,6,0,3,290,2023,Italian Grand Prix,R,HAM,49.0,85.888,37.119
0 days 00:00:37.439000,2350.9705555555556,8937.11284306551,15570.460627844966,235.0,100.0,False,11228.0,6,0,3,291,2023,Italian Grand Prix,R,HAM,49.0,85.888,37.439
0 days 00:00:37.527000,2356.8017530839534,8976.0,15585.0,236.3793100681008,100.0,False,11260.8275796208,6,0,3,292,2023,Italian Grand Prix,R,HAM,49.0,85.888,37.527
0 days 00:00:37.746000,2371.433403545243,9113.0,15635.0,239.8119122634408,100.0,False,11342.523511869891,6,0,3,293,2023,Italian Grand Prix,R,HAM,49.0,85.888,37.746
0 days 00:00:37.758000,2372.2372222222225,9120.710293598298,15637.668151428283,240.0,100.0,False,11347.0,6,0,3,294,2023,Italian Grand Prix,R,HAM,49.0,85.888,37.758
0 days 00:00:37.887000,2380.890608288287,9202.0,15665.0,241.28999936,100.0,False,11434.71995648,6,0,3,295,2023,Italian Grand Prix,R,HAM,49.0,85.888,37.887
0 days 00:00:37.958000,2385.681666666667,9247.089602462376,15680.388243662032,242.0,100.0,False,11483.0,6,0,3,296,2023,Italian Grand Prix,R,HAM,49.0,85.888,37.958
0 days 00:00:38.087000,2394.4608412227667,9330.0,15709.0,243.6124992,100.0,False,11553.9499648,6,0,3,297,2023,Italian Grand Prix,R,HAM,49.0,85.888,38.087
0 days 00:00:38.198000,2402.0150000000003,9401.903648915115,15733.448642440006,245.0,100.0,False,11615.0,6,0,3,298,2023,Italian Grand Prix,R,HAM,49.0,85.888,38.198
0 days 00:00:38.326000,2410.64898039339,9485.0,15761.0,242.76,70.24000000000001,False,11357.4,6,0,3,299,2023,Italian Grand Prix,R,HAM,49.0,85.888,38.326
0 days 00:00:38.507000,2422.639014628968,9600.0,15798.0,239.59250112,28.157514879999994,False,10993.1376288,6,0,3,300,2023,Italian Grand Prix,R,HAM,49.0,85.888,38.507
0 days 00:00:38.598000,2428.4594444444447,9652.728438800803,15815.831899217468,238.0,7.0,True,10810.0,6,0,3,301,2023,Italian Grand Prix,R,HAM,49.0,85.888,38.598
0 days 00:00:38.766000,2438.8049886933622,9764.0,15847.0,224.7,4.9,True,10114.2,6,0,3,302,2023,Italian Grand Prix,R,HAM,49.0,85.888,38.766
0 days 00:00:38.838000,2443.0594444444446,9831.8454455468,15859.399976821427,219.0,4.0,True,9816.0,6,0,3,303,2023,Italian Grand Prix,R,HAM,49.0,85.888,38.838
0 days 00:00:39.006000,2452.538992769818,9994.0,15882.0,209.2,4.466666666666667,True,10051.2,6,0,3,304,2023,Italian Grand Prix,R,HAM,49.0,85.888,39.006
0 days 00:00:39.198000,2462.8594444444448,10057.23555210037,15885.489065703872,198.0,5.0,True,10320.0,5,0,3,305,2023,Italian Grand Prix,R,HAM,49.0,85.888,39.198
0 days 00:00:39.326000,2469.5996774528994,10090.0,15881.0,190.8,6.6,True,10027.2,5,0,3,306,2023,Italian Grand Prix,R,HAM,49.0,85.888,39.326
0 days 00:00:39.358000,2471.2594444444444,10103.234620547973,15879.65458289026,189.0,7.0,True,9954.0,5,0,3,307,2023,Italian Grand Prix,R,HAM,49.0,85.888,39.358
0 days 00:00:39.486000,2477.781749812074,10171.0,15872.0,185.4,8.2,True,9745.2,5,0,3,308,2023,Italian Grand Prix,R,HAM,49.0,85.888,39.486
0 days 00:00:39.678000,2487.2594444444444,10284.391589558094,15845.489870769028,180.0,10.0,False,9432.0,5,0,3,309,2023,Italian Grand Prix,R,HAM,49.0,85.888,39.678
0 days 00:00:39.826000,2494.3646923718297,10360.0,15821.0,175.77142857142857,11.057142857142857,False,9432.0,5,0,3,310,2023,Italian Grand Prix,R,HAM,49.0,85.888,39.826
0 days 00:00:39.958000,2500.637222222222,10407.49406049718,15801.425290804586,172.0,12.0,False,9432.0,5,0,3,311,2023,Italian Grand Prix,R,HAM,49.0,85.888,39.958
0 days 00:00:40.106000,2507.675453650088,10454.0,15776.0,171.26,25.32,False,9230.72,5,0,3,312,2023,Italian Grand Prix,R,HAM,49.0,85.888,40.106
0 days 00:00:40.158000,2510.137222222222,10472.99525165818,15764.517291925778,171.0,30.0,False,9160.0,5,0,3,313,2023,Italian Grand Prix,R,HAM,49.0,85.888,40.158
0 days 00:00:40.366000,2519.9045395968733,10556.0,15708.0,169.27385846276738,39.49377845477934,False,9261.842350696725,5,0,3,314,2023,Italian Grand Prix,R,HAM,49.0,85.888,40.366
0 days 00:00:40.399000,2521.4508333333333,10568.369733133954,15698.197639334085,169.0,41.0,False,9278.0,5,0,3,315,2023,Italian Grand Prix,R,HAM,49.0,85.888,40.399
0 days 00:00:40.586000,2530.2270535883677,10633.0,15639.0,169.0,52.22000384,False,9414.510046719999,5,0,3,316,2023,Italian Grand Prix,R,HAM,49.0,85.888,40.586
0 days 00:00:40.599000,2530.839722222222,10637.230092100715,15634.638946016958,169.0,53.0,False,9424.0,5,0,3,317,2023,Italian Grand Prix,R,HAM,49.0,85.888,40.599
0 days 00:00:40.746000,2537.7982117385145,10683.0,15583.0,170.00227316363637,57.009092654545455,False,9517.545495272727,5,0,3,318,2023,Italian Grand Prix,R,HAM,49.0,85.888,40.746
0 days 00:00:40.926000,2546.4016044630102,10734.0,15514.0,171.2295458909091,61.91818356363636,False,9632.090949818183,5,0,3,319,2023,Italian Grand Prix,R,HAM,49.0,85.888,40.926
0 days 00:00:41.039000,2551.8619444444444,10761.89142657506,15468.618447278443,172.0,65.0,False,9704.0,5,0,3,320,2023,Italian Grand Prix,R,HAM,49.0,85.888,41.039
0 days 00:00:41.246000,2561.9761810997506,10807.0,15376.0,175.45000106666666,70.1750016,False,9859.250048,5,0,3,321,2023,Italian Grand Prix,R,HAM,49.0,85.888,41.246
0 days 00:00:41.279000,2563.595277777778,10813.976967196466,15359.065532088409,176.0,71.0,False,9884.0,5,0,3,322,2023,Italian Grand Prix,R,HAM,49.0,85.888,41.279
0 days 00:00:41.479000,2573.4841666666666,10853.61220437261,15248.636175204956,178.0,72.0,False,9884.0,5,0,3,323,2023,Italian Grand Prix,R,HAM,49.0,85.888,41.479
0 days 00:00:41.526000,2575.864864176207,10861.0,15225.0,179.64500224,74.3500032,False,10004.32016384,5,0,3,324,2023,Italian Grand Prix,R,HAM,49.0,85.888,41.526
0 days 00:00:41.679000,2583.7619444444445,10878.679523011058,15158.511264434954,185.0,82.0,False,10396.0,5,0,3,325,2023,Italian Grand Prix,R,HAM,49.0,85.888,41.679
0 days 00:00:41.806000,2590.407737230206,10890.0,15103.0,187.54000128,85.81000192,False,10648.09512704,5,0,3,326,2023,Italian Grand Prix,R,HAM,49.0,85.888,41.806
0 days 00:00:41.879000,2594.2619444444445,10896.545762331949,15066.597675445271,189.0,88.0,False,10793.0,5,0,3,327,2023,Italian Grand Prix,R,HAM,49.0,85.888,41.879
0 days 00:00:42.046000,2603.176592355706,10911.0,14976.0,191.982144,95.1571456,False,10890.2178944,5,0,3,328,2023,Italian Grand Prix,R,HAM,49.0,85.888,42.046
0 days 00:00:42.159000,2609.3508333333334,10919.573749622883,14915.287676794496,194.0,100.0,False,10956.0,5,0,3,329,2023,Italian Grand Prix,R,HAM,49.0,85.888,42.159
0 days 00:00:42.207000,2612.020117235659,10923.0,14889.0,195.88571428571427,100.0,False,11026.457142857143,5,0,3,330,2023,Italian Grand Prix,R,HAM,49.0,85.888,42.207
0 days 00:00:42.386000,2622.212349997639,10935.0,14787.0,202.91785965714286,100.0,False,11289.203665371428,5,0,3,331,2023,Italian Grand Prix,R,HAM,49.0,85.888,42.386
0 days 00:00:42.439000,2625.2952777777778,10938.379586426052,14756.546447481558,205.0,100.0,False,11367.0,5,0,3,332,2023,Italian Grand Prix,R,HAM,49.0,85.888,42.439
0 days 00:00:42.759000,2644.4952777777776,10955.200669338432,14569.342416428397,216.0,100.0,False,11964.0,5,0,3,333,2023,Italian Grand Prix,R,HAM,49.0,85.888,42.759
0 days 00:00:42.787000,2646.2181189387375,10956.0,14552.0,216.7875,100.0,False,11861.45,5,0,3,334,2023,Italian Grand Prix,R,HAM,49.0,85.888,42.787
0 days 00:00:42.826000,2648.628727923485,10957.0,14527.0,217.8843768,100.0,False,11718.6122656,5,0,3,335,2023,Italian Grand Prix,R,HAM,49.0,85.888,42.826
0 days 00:00:43.079000,2664.4952777777776,10973.390567214894,14289.515450600427,225.0,100.0,False,10792.0,6,0,3,336,2023,Italian Grand Prix,R,HAM,49.0,85.888,43.079
0 days 00:00:43.126000,2667.4624926992547,10976.0,14254.0,225.5875008,100.0,False,10810.9958592,6,0,3,337,2023,Italian Grand Prix,R,HAM,49.0,85.888,43.126
0 days 00:00:43.319000,2679.695277777778,10981.11583386307,14176.272276016602,228.0,100.0,False,10889.0,6,0,3,338,2023,Italian Grand Prix,R,HAM,49.0,85.888,43.319
0 days 00:00:43.466000,2689.0692535995813,10984.0,14127.0,229.47000064,100.0,False,10944.125024,6,0,3,339,2023,Italian Grand Prix,R,HAM,49.0,85.888,43.466
0 days 00:00:43.519000,2692.473055555555,10985.682181056245,14100.510051606961,230.0,100.0,False,10964.0,6,0,3,340,2023,Italian Grand Prix,R,HAM,49.0,85.888,43.519
0 days 00:00:43.759000,2708.073055555555,10997.161115824756,13938.816536070759,234.0,100.0,False,11107.0,6,0,3,341,2023,Italian Grand Prix,R,HAM,49.0,85.888,43.759
0 days 00:00:43.807000,2711.220025768179,11000.0,13907.0,234.72,100.0,False,11125.48,6,0,3,342,2023,Italian Grand Prix,R,HAM,49.0,85.888,43.807
0 days 00:00:43.887000,2716.4826034749467,11005.0,13856.0,235.92,100.0,False,11156.28,6,0,3,343,2023,Italian Grand Prix,R,HAM,49.0,85.888,43.887
0 days 00:00:43.959000,2721.239722222222,11009.40067725953,13809.541031443183,237.0,100.0,False,11184.0,6,0,3,344,2023,Italian Grand Prix,R,HAM,49.0,85.888,43.959
0 days 00:00:44.187000,2736.4348743307332,11023.0,13658.0,239.85,100.0,False,11350.25,6,0,3,345,2023,Italian Grand Prix,R,HAM,49.0,85.888,44.187
0 days 00:00:44.199000,2737.2397222222216,11023.75396413426,13649.997124891299,240.0,100.0,False,11359.0,6,0,3,346,2023,Italian Grand Prix,R,HAM,49.0,85.888,44.199
